gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
5,1,1,1,14,1,2,11,0,1,0,1,1
2,1,1,0,6,1,0,0,0,1,0,0,1
4,1,1,0,3,4,2,0,0,1,0,1,1
1,1,1,0,12,1,5,0,1,1,0,1,1
1,1,1,0,4,2,0,1,1,0,0,1,1
1,1,1,1,5,2,0,0,0,1,1,1,1
8,1,1,0,4,1,0,0,1,1,1,1,1
0,1,1,1,2,11,0,0,1,1,1,1,1
9,1,1,0,14,4,0,0,1,1,1,1,1
1,1,1,0,23,2,0,0,1,1,1,1,1
10,1,1,0,27,9,0,0,1,1,1,1,1
1,1,1,0,5,2,0,0,1,1,1,1,1
1,1,0,0,0,0,0,0,0,1,1,0,1
2,1,1,0,13,0,3,0,1,1,1,1,1
0,1,1,0,11,1,0,0,1,1,1,1,1
2,1,1,0,7,13,1,0,1,1,1,1,1
11,1,1,0,22,2,4,0,1,1,1,1,1
5,1,0,0,3,0,0,0,1,1,1,1,1
6,1,1,0,13,2,2,6,1,1,1,1,1
1,1,1,0,13,2,0,13,0,1,1,1,1
2,1,1,0,15,1,0,0,1,1,1,1,1
6,1,0,0,3,2,0,0,1,1,1,0,1
5,1,1,0,16,2,2,1,1,1,1,1,1
2,1,0,0,18,1,1,6,1,0,1,0,1
4,1,1,0,10,2,0,4,1,0,1,1,1
2,1,1,1,0,4,0,0,0,0,1,0,1
3,1,0,1,10,0,6,1,0,0,1,0,1
0,1,1,1,2,0,0,15,1,0,1,0,1
0,1,1,0,8,3,3,0,1,1,0,1,1
0,1,1,1,7,7,0,0,1,1,0,1,1
1,1,0,0,2,2,0,0,1,1,0,1,1
2,1,1,0,10,0,0,0,1,1,0,0,1
0,1,0,0,6,3,0,0,0,1,0,0,1
5,1,1,0,4,1,0,0,0,1,0,1,1
0,1,1,0,6,2,0,0,1,1,0,1,1
0,1,1,0,14,1,0,1,1,1,0,1,1
1,1,1,0,17,4,1,0,1,1,0,1,1
1,1,1,0,16,0,1,0,1,1,0,0,1
2,1,1,0,14,1,0,0,0,1,0,1,1
1,1,1,0,10,1,1,0,1,1,0,1,1
